,API,Operator,Lease_Name,Well_Number,Spud_Date,TD,Months_Produced,Completion_Date,First_Production_Day,Cum_BOE,Cum_Gas,Cum_Oil,Daily_Gas,Daily_Oil,First_Month_Gas,First_Month_Oil,Drilling_Type,Production_type,Reservoir,Field,Lat,Long,Perforated_Interval_Length
0,4230133173,"ANADARKO E&P ONSHORE, LLC",SAVAGE 54-2-22 UNIT,1H,3/27/2017,12100.0,1.0,,7/1/2017,9292.0,22456.0,5549.0,724.0,179.0,22456.0,5549.0,H,OIL,WOLFCAMP,PHANTOM,31.8261575,-103.64376290000001,
1,4230133308,MEWBOURNE HOLDINGS INC,ZUMA 3 57-T1-3X10,W102AP,5/8/2017,20470.0,1.0,,7/1/2017,559.0,72.0,547.0,2.0,18.0,72.0,547.0,H,OIL,WOLFCAMP,PHANTOM,31.9996054,-103.9410792,
2,4230133208,EOG RESOURCES INCORPORATED,LINK VJ RANCH 23-11B,2H,4/8/2017,14000.0,1.0,,7/1/2017,33618.0,74305.0,21234.0,2397.0,685.0,74305.0,21234.0,H,OIL,WOLFCAMP,PHANTOM,31.8389673,-103.7354666,
3,4230133057,DEVON ENERGY CORPORATION,BOYD 11 101H,101H,1/22/2017,17570.0,2.0,,5/1/2017,26351.0,40193.0,19652.0,659.0,322.0,5898.0,2156.0,H,OIL,WOLFCAMP,PHANTOM,31.943227399999998,-103.3544561,
4,4230133056,MEWBOURNE HOLDINGS INC,TXL 19,H301DM,4/24/2017,14375.0,1.0,,7/1/2017,23117.0,43538.0,15861.0,1404.0,512.0,43538.0,15861.0,H,OIL,BONE SPRING,SANDBAR,31.9557756,-103.9053765,
5,4230133207,EOG RESOURCES INCORPORATED,LINK VJ RANCH 11-14,1H,3/14/2017,14000.0,1.0,,7/1/2017,28407.0,60359.0,18347.0,1947.0,592.0,60359.0,18347.0,H,OIL,WOLFCAMP,PHANTOM,31.8320974,-103.7344663,
6,4230133247,RS3 SERVICES,LUDEMAN I,0,3/29/2017,14000.0,1.0,,7/1/2017,11526.0,511.0,11441.0,16.0,369.0,511.0,11441.0,H,OIL,WOLFCAMP,PHANTOM,31.931906899999994,-103.42405790000001,
7,4230133246,"RSP INVESTMENTS, INC.",LUDEMAN I,0,3/28/2017,14000.0,1.0,,7/1/2017,20728.0,396.0,20662.0,13.0,667.0,396.0,20662.0,H,OIL,BONE SPRING,SANDBAR,31.9319369,-103.4238579,
8,4230133081,EOG RESOURCES INCORPORATED,WHITNEY BRUNSON UNIT,3H,2/21/2017,14000.0,2.0,,6/1/2017,135907.0,183050.0,105399.0,3001.0,1728.0,101206.0,61267.0,H,OIL,WOLFCAMP,PHANTOM,31.9112865,-103.5287607,
9,4230133184,EOG RESOURCES INCORPORATED,WHITNEY BRUNSON UNIT,5H,2/23/2017,14000.0,2.0,,6/1/2017,121904.0,166914.0,94085.0,2736.0,1542.0,73619.0,43086.0,H,OIL,WOLFCAMP,PHANTOM,31.911296500000002,-103.52546059999999,
10,4230133143,EOG RESOURCES INCORPORATED,WHITNEY BRUNSON UNIT,4H,12/30/2016,14000.0,2.0,,6/1/2017,120597.0,156638.0,94491.0,2568.0,1549.0,81573.0,50987.0,H,OIL,WOLFCAMP,PHANTOM,31.911296500000002,-103.52556059999999,
11,4230133179,"RSP PERMIAN, LLC",PISTOL 25-9,0,1/28/2017,13500.0,2.0,,6/1/2017,52610.0,61793.0,42311.0,1013.0,694.0,20236.0,12842.0,H,OIL,WOLFCAMP,PHANTOM,31.9662865,-103.434759,
12,4230133080,EOG RESOURCES INCORPORATED,WHITNEY BRUNSON UNIT,2H,12/26/2016,14000.0,2.0,,6/1/2017,180604.0,237418.0,141034.0,3892.0,2312.0,108853.0,67876.0,H,OIL,WOLFCAMP,PHANTOM,31.9112865,-103.5286607,
13,4230133139,EOG RESOURCES INCORPORATED,ST PATHFINDER,09H,1/3/2017,14000.0,3.0,,5/1/2017,86705.0,145026.0,62534.0,1576.0,680.0,61697.0,28126.0,H,OIL,BONE SPRING,SANDBAR,31.984955600000003,-103.6280663,
14,4230132811,EOG RESOURCES INCORPORATED,ST PATHFINDER,14H,1/2/2017,14000.0,3.0,,5/1/2017,93420.0,176536.0,63997.0,1919.0,696.0,47256.0,22193.0,H,OIL,BONE SPRING,SANDBAR,31.9862756,-103.6265663,
15,4230133197,EOG RESOURCES INCORPORATED,STATE PATHFINDER 7,22H,3/17/2017,14000.0,3.0,,5/1/2017,100124.0,172967.0,71296.0,1880.0,775.0,28102.0,11602.0,H,OIL,WOLFCAMP,PHANTOM,31.999275399999995,-103.62246640000001,
16,4230133187,EOG RESOURCES INCORPORATED,STATE PATHFINDER 7,24H,2/23/2017,14000.0,3.0,,5/1/2017,119550.0,201767.0,85922.0,2193.0,934.0,51152.0,23435.0,H,OIL,WOLFCAMP,PHANTOM,31.999275399999995,-103.6256666,
17,4230133129,MATADOR PRODUCTION COMPANY,ARNO 78-TTT-B33 WF,122H,1/16/2017,10500.0,1.0,,6/1/2017,15982.0,55116.0,6796.0,1837.0,227.0,55116.0,6796.0,H,OIL,BONE SPRING,TWO GEORGES,31.6679696,-103.60775859999998,
